"","AbsOrder","SeaNum","EpiNum","EpiTitle","AirDate","WritBy","DirBy","EpiPlot","imdbRating","imdbVotes","EpiLength"
"23",23,"3","6","The Gang Solves the North Korea Situation","27 Sep 2007","Charlie Day, Scott Marder, Rob Rosell","Fred Savage","As they prepare for the annual Pub Crawl, the gang is horrified to learn that they face competition from a new Korean bar.","8.7","633","22 min"
"24",24,"3","7","The Gang Sells Out","04 Oct 2007","Charlie Day, David Hornsby","Matt Shakman","A corporate chain offers to buy the Paddy's Pub, leaving Dee and Charlie unemployed and forcing them to find jobs at another restaurant, where they abuse their positions and take advantage of the manager, who is Dee's friend.","8.5","581","22 min"
"25",25,"3","8","Frank Sets Sweet Dee on Fire","04 Oct 2007","Scott Marder (teleplay), Rob Rosell (teleplay), Rob McElhenney (story)","Fred Savage","In their quest to become famous, Frank, Charlie, and Mac, search for newsworthy footage to air on public access.","8.7","623","22 min"
"26",26,"3","9","Sweet Dee's Dating a Retarded Person","11 Oct 2007","Scott Marder (teleplay), Rob Rosell (teleplay), Glenn Howerton (story)","Jerry Levine","While Dennis and Dee try to figure out if the rapper Dee is dating has a mental handicap or not, Charlie, Mac, and Frank try to start their own band without knowledge of how to play musical instruments.","9.3","1028","22 min"
"27",27,"3","10","Mac Is a Serial Killer","18 Oct 2007","David Hornsby (teleplay), Charlie Day (story)","Jerry Levine","After reading that a serial killer is on the loose, the gang notices that Mac is acting shady and decides to find out if he's the man behind the murders.","9.1","789","22 min"
"28",28,"3","11","Dennis Looks Like a Registered Sex Offender","25 Oct 2007","Rob McElhenney","Jerry Levine","Dennis is angry because he's being mistaken for a fat guy rather than the sex offender who moved next door to Charlie. Meanwhile, Mac's father is released from prison and he and Mac have some catching up to do.","8.7","594","22 min"
"29",29,"3","12","The Gang Gets Whacked: Part 1","01 Nov 2007","Glenn Howerton, Scott Marder, Rob Rosell","Matt Shakman","After stumbling upon a kilo of cocaine, the gang is forced to pay off a $25,000 debt to the mob. Mac becomes a mob informant, while Frank pimps out Dennis as an escort at the local country ...","8.5","520","22 min"
"30",30,"3","13","The Gang Gets Whacked: Part 2","01 Nov 2007","Scott Marder, Rob Rosell","Matt Shakman","While paying off their debt to the mob, Charlie and Dee try to find a way to make fake cocaine in order to fool them, while Dennis ranks in thousands of dollars being pimped out at the ...","8.7","509","22 min"
"31",31,"3","14","Bums: Making a Mess All Over the City","15 Nov 2007","Charlie Day, David Hornsby","Jerry Levine","Dee and Mac become Guardian Angels and clean up the streets when a bum starts using the alley behind the bar to masturbate. Meanwhile, Dennis, Charlie, and Frank impersonate police officers in order to get preferential treatment.","8.8","612","22 min"
"32",32,"3","15","The Gang Dances Their Asses Off","15 Nov 2007","David Hornsby, Scott Marder, Rob Rosell","Matt Shakman","After Charlie accidentally puts Paddy's Pub up for 1st prize in a local dance competition, Frank makes the gang participate in the contest. Here, they form alliances and try to cheat the ...","9.1","756","22 min"
"33",33,"4","1","Mac and Dennis: Manhunters","18 Sep 2008","Charlie Day, Jordan Young, Elijah Aron","Fred Savage","Mac and Dennis pursue the ultimate high of hunting another man by stalking Rickety Cricket, while Dee and Charlie become obsessed with eating human flesh after they come to believe Frank has fed some of it to them.","8.6","655","22 min"
"34",34,"4","2","The Gang Solves the Gas Crisis","18 Sep 2008","Charlie Day, Sonny Lee, Patrick Walsh","Matt Shakman","While Mac, Dennis, and Charlie use their classic setup to sell gallons of gasoline door to door, Frank subjects Dee to a series of torture and mind games when he suspects that Dee is trying to kill him while the two plot to steal their inheritance from Bruce Mathis.","9.2","863","22 min"
"35",35,"4","3","America's Next Top Paddy's Billboard Model Contest","25 Sep 2008","Charlie Day, Rob McElhenney, Adam Stein","Fred Savage","After buying a billboard, Frank subjects Dennis to a series of humiliating tests in a competition to get on the billboard, while Mac tries to find female subjects willing to go through his own version of a reality show, of sorts.","8.7","585","22 min"
"36",36,"4","4","Mac's Banging the Waitress","25 Sep 2008","David Hornsby","Matt Shakman","Charlie manipulates Mac and Dennis when he accuses the two of them with sleeping with the coffee shop waitress.","8.8","564","22 min"
"37",37,"4","5","Mac & Charlie Die: Part 1","02 Oct 2008","Charlie Day, Glenn Howerton, Rob McElhenney","Fred Savage, Matt Shakman","After Mac's father is released from prison, Mac and Charlie stage their own deaths to save their lives.","9.1","607","22 min"
"38",38,"4","6","Mac & Charlie Die: Part 2","02 Oct 2008","Charlie Day, Glenn Howerton, Rob McElhenney","Fred Savage","After Mac and Charlie fake their own deaths, the rest of the gang finds unique ways of dealing with the loss.","8.8","533","22 min"
"39",39,"4","7","Who Pooped the Bed?","09 Oct 2008","Rob McElhenney, Scott Marder, Rob Rosell","Fred Savage","Frank and Charlie find someone has pooped in their bed, leading Mac and Dennis to join them as they attempt to find the culprit.","8.5","698","22 min"
"40",40,"4","8","Paddy's Pub: The Worst Bar in Philadelphia","16 Oct 2008","Scott Marder, Rob Rosell, David Hornsby","Matt Shakman","The gang kidnaps the writer of a review claiming that Paddy's is the worst bar in Philadelphia and tries to force him to change his mind. But things get worse when Charlie accidentally kidnaps the writer's neighbor.","8.7","558","22 min"
"41",41,"4","9","Dennis Reynolds: An Erotic Life","23 Oct 2008","Glenn Howerton, Scott Marder, Rob Rosell","Fred Savage","While Frank and Mac come up with ways to spice up Dennis' erotic memoir, Dee finds that spending time in Charlie's shoes is way more difficult than it seems, and vice-versa.","8.6","547","22 min"
"42",42,"4","10","Sweet Dee Has a Heart Attack","30 Oct 2008","Scott Marder, Rob Rosell","Matt Shakman","After Dee suffers a heart attack, she and Dennis try a healthier lifestyle. Charlie and Mac join the corporate work force to get health insurance.","8.8","591","22 min"
"43",43,"4","11","The Gang Cracks the Liberty Bell","06 Nov 2008","Rob McElhenney, Glenn Howerton, David Hornsby","Matt Shakman","In order to get Paddy's recognized by the city as a historical landmark, Mac, Dennis, and Charlie flash back to 1776 to tell the tale of the Paddy's crew's involvement in the cracking of the Liberty Bell.","8.1","559","22 min"
"44",44,"4","12","The Gang Gets Extreme: Home Makeover Edition","13 Nov 2008","Charlie Day, David Hornsby, Glenn Howerton","Fred Savage","While trying to make their own dreams come true, the gang decides to pay it forward to an unlucky family living in the city only to have their plans backfire on them.","8.6","540","22 min"
"45",45,"4","13","The Nightman Cometh","20 Nov 2008","Rob McElhenney, Glenn Howerton, Charlie Day","Matt Shakman","Charlie stages a rock opera based on his song ""Nightman,"" and recruits the rest of the gang to help him with it.","9.6","1415","22 min"
